;ANO_ELEICAO;SG_UF;NM_UE;DS_CARGO;SQ_CANDIDATO;NM_URNA_CANDIDATO;CD_SITUACAO_CANDIDATURA;SG_PARTIDO;NR_IDADE_DATA_POSSE;DS_GENERO;DS_GRAU_INSTRUCAO;DS_ESTADO_CIVIL;DS_COR_RACA;DS_OCUPACAO;VR_DESPESA_MAX_CAMPANHA;ST_REELEICAO;ST_DECLARAR_BENS;ST_CANDIDATO_INSERIDO_URNA;VR_BEM_CANDIDATO;DS_SIT_TOT_TURNO;QT_VOTOS_NOMINAIS;eleito;Prob_0;Prob_1
907;2020;SP;SÃO PAULO;VEREADOR;250000885555;SALVE JORGE;12;SOLIDARIEDADE;65;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);PRETA;OUTROS;3675197.12;N;S;SIM;70000.0;NÃO ELEITO;212.0;0;0.9854632545624615;0.01453674543753842
908;2020;SP;SÃO PAULO;VEREADOR;250000707274;JUNIOR PINHEIRO;12;PP;48;MASCULINO;SUPERIOR INCOMPLETO;CASADO(A);BRANCA;OUTROS;3675197.12;N;S;SIM;58235.86;SUPLENTE;347.0;0;0.9574671684391274;0.042532831560872675
909;2020;SP;SÃO PAULO;VEREADOR;250000883871;EDSON COQUEIRO;12;REPUBLICANOS;44;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;EMPRESÁRIO;3675197.12;N;S;SIM;254065.0;SUPLENTE;2097.0;0;0.9432232797667298;0.056776720233270156
910;2020;SP;SÃO PAULO;VEREADOR;250000919250;LÉO ONODA;12;PSDB;46;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;OUTROS;3675197.12;N;S;SIM;140618.89;SUPLENTE;1233.0;0;0.9509908806990243;0.049009119300975734
911;2020;SP;SÃO PAULO;VEREADOR;250000919222;CLAIRE BARBAGALLO;12;PSDB;63;FEMININO;SUPERIOR COMPLETO;VIÚVO(A);BRANCA;ADMINISTRADOR;3675197.12;N;S;SIM;52259.7;SUPLENTE;465.0;0;0.9835460578304515;0.01645394216954849
912;2020;SP;SÃO PAULO;VEREADOR;250001123240;EDSON DA FOGAZZA;12;PSB;46;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;CASADO(A);BRANCA;OUTROS;3675197.12;N;S;SIM;5000.0;SUPLENTE;644.0;0;0.9523915962247308;0.04760840377526921
913;2020;SP;SÃO PAULO;VEREADOR;250000811426;JUNQUEIRA;12;PODE;60;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;POLICIAL MILITAR;3675197.12;N;S;SIM;886318.0399999999;SUPLENTE;818.0;0;0.9760534096108128;0.023946590389187193
914;2020;SP;SÃO PAULO;VEREADOR;250001123270;PROF ROBERTO BOLONHINI JR;12;PSB;56;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;ADVOGADO;3675197.12;N;S;SIM;669363.9199999999;SUPLENTE;2711.0;0;0.9705899577424161;0.02941004225758392
915;2020;SP;SÃO PAULO;VEREADOR;250000883858;DRA PATRÍCIA ALONSO;12;REPUBLICANOS;51;FEMININO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;ADVOGADO;3675197.12;N;S;SIM;55464.55;SUPLENTE;2359.0;0;0.9647553488450116;0.03524465115498843
916;2020;SP;SÃO PAULO;VEREADOR;250000883882;CLÁUDIO GRILLO;12;REPUBLICANOS;56;MASCULINO;SUPERIOR INCOMPLETO;CASADO(A);BRANCA;OUTROS;3675197.12;N;S;SIM;625459.69;SUPLENTE;508.0;0;0.9708560959212545;0.029143904078745467
917;2020;SP;SÃO PAULO;VEREADOR;250000641038;GERSON LUIS;12;PL;51;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);PARDA;AGENTE DE SAÚDE E SANITARISTA;3675197.12;N;S;SIM;3.51;SUPLENTE;44.0;0;0.9651771541982033;0.034822845801796745
918;2020;SP;SÃO PAULO;VEREADOR;250000883849;SARGENTO TONNY SANTOS;12;REPUBLICANOS;41;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;POLICIAL MILITAR;3675197.12;N;S;SIM;373260.69;SUPLENTE;1755.0;0;0.9300568475437306;0.06994315245626936
919;2020;SP;SÃO PAULO;VEREADOR;250001119868;SILVIA BITTENCOURT;12;PDT;55;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;ADVOGADO;3675197.12;N;S;SIM;837000.0;NÃO ELEITO;289.0;0;0.9674870884266551;0.03251291157334486
920;2020;SP;SÃO PAULO;VEREADOR;250000885496;PAULO PEQUENO;12;SOLIDARIEDADE;50;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;GERENTE;3675197.12;N;S;SIM;316692.0;NÃO ELEITO;1487.0;0;0.9603128977737443;0.03968710222625574
921;2020;SP;SÃO PAULO;VEREADOR;250000919208;DANIEL ANNENBERG;12;PSDB;55;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;VEREADOR;3675197.12;N;S;SIM;990651.25;SUPLENTE;15849.0;0;0.9663920573140077;0.03360794268599237
922;2020;SP;SÃO PAULO;VEREADOR;250000919192;FESTIVAL;12;PSDB;69;MASCULINO;ENSINO MÉDIO COMPLETO;DIVORCIADO(A);BRANCA;OUTROS;3675197.12;N;S;SIM;530736.49;SUPLENTE;2945.0;0;0.9875403386565218;0.012459661343478218
923;2020;SP;SÃO PAULO;VEREADOR;250000706721;SELMER;12;PV;43;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;PROFESSOR DE ENSINO SUPERIOR;3675197.12;N;S;SIM;169437.71;SUPLENTE;344.0;0;0.9407103593679011;0.059289640632098864
924;2020;SP;SÃO PAULO;VEREADOR;250000754001;ZÉ DO BODE;12;PSL;52;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;EMPRESÁRIO;3675197.12;N;S;SIM;1309000.0;SUPLENTE;507.0;0;0.956521944180593;0.04347805581940696
925;2020;SP;SÃO PAULO;VEREADOR;250000925949;MISS VALQUIRIA;12;PSC;64;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);PRETA;OUTROS;3675197.12;N;S;SIM;205000.0;SUPLENTE;317.0;0;0.9840294970005364;0.01597050299946361
926;2020;SP;SÃO PAULO;VEREADOR;250000944967;CATARINA JESUS;12;CIDADANIA;44;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);PRETA;AGENTE DE SAÚDE E SANITARISTA;3675197.12;N;S;SIM;32374.0;NÃO ELEITO;1471.0;0;0.9457728180944426;0.05422718190555746
927;2020;SP;SÃO PAULO;VEREADOR;250000686851;ÁLVARO JERONYMO;12;PSOL;52;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);PRETA;AGENTE ADMINISTRATIVO;3675197.12;N;S;SIM;3500.0;SUPLENTE;535.0;0;0.9672803814143259;0.03271961858567408
928;2020;SP;SÃO PAULO;VEREADOR;250001088391;ROCHA;12;MDB;58;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;OUTROS;3675197.12;N;S;SIM;722000.0;SUPLENTE;374.0;0;0.9737832741334461;0.0262167258665539
929;2020;SP;SÃO PAULO;VEREADOR;250000945009;CLAUDIO FONSECA;12;CIDADANIA;64;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PRETA;VEREADOR;3675197.12;S;S;SIM;2287396.8;NÃO ELEITO;15219.0;0;0.9746311743176231;0.025368825682376906
930;2020;SP;SÃO PAULO;VEREADOR;250000811383;PODÓLOGA VAL DUTRA;12;PODE;49;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;MANICURE E MAQUILADOR;3675197.12;N;S;SIM;23000.0;SUPLENTE;514.0;0;0.960335438275074;0.03966456172492609
931;2020;SP;SÃO PAULO;VEREADOR;250000945019;MORGAN AUGUSTO;12;CIDADANIA;53;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);PRETA;ADVOGADO;3675197.12;N;S;SIM;185520.13;NÃO ELEITO;194.0;0;0.9680260743316637;0.03197392566833637
932;2020;SP;SÃO PAULO;VEREADOR;250000641033;LUIZ MATIAS;12;PL;37;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;SOLTEIRO(A);PARDA;TAXISTA;3675197.12;N;S;SIM;1145.0;SUPLENTE;103.0;0;0.9176587466797633;0.08234125332023666
933;2020;SP;SÃO PAULO;VEREADOR;250000641004;JUCYMARA RANGEL;12;PL;53;FEMININO;ENSINO FUNDAMENTAL COMPLETO;SOLTEIRO(A);BRANCA;POLICIAL CIVIL;3675197.12;N;S;SIM;2007.0;SUPLENTE;108.0;0;0.9692741569670499;0.030725843032950128
934;2020;SP;SÃO PAULO;VEREADOR;250000754028;DOUTOR WALMIR RIGUEIRA;12;PSL;43;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;MÉDICO;3675197.12;N;S;SIM;3270809.1099999994;SUPLENTE;4191.0;0;0.887154243655662;0.11284575634433805
935;2020;SP;SÃO PAULO;VEREADOR;250000811409;DELEGADA MÔNICA GAMBOA;12;PODE;43;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;POLICIAL CIVIL;3675197.12;N;S;SIM;449624.55;SUPLENTE;2096.0;0;0.9370493351342499;0.06295066486575002
936;2020;SP;SÃO PAULO;VEREADOR;250001016175;MARIA LÉO MAIA;12;PSD;53;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;EMPRESÁRIO;3675197.12;N;S;SIM;741282.04;SUPLENTE;164.0;0;0.9639012458401232;0.036098754159876845
937;2020;SP;SÃO PAULO;VEREADOR;250000883848;FRANCISCO CLAUDINO;12;REPUBLICANOS;60;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;OUTROS;3675197.12;N;S;SIM;55507.07;SUPLENTE;792.0;0;0.980078082929699;0.019921917070300957
938;2020;SP;SÃO PAULO;VEREADOR;250001088389;NAVAL;12;MDB;58;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;OUTROS;3675197.12;N;S;SIM;30000.0;NÃO ELEITO;0.0;0;0.9774893451099883;0.02251065489001166
939;2020;SP;SÃO PAULO;VEREADOR;250000651018;IRMÃ ANITA;12;DEM;66;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;APOSENTADO (EXCETO SERVIDOR PÚBLICO);3675197.12;N;S;SIM;813075.2200000001;SUPLENTE;1438.0;0;0.9839208165640205;0.01607918343597945
940;2020;SP;SÃO PAULO;VEREADOR;250000885493;EDITH FERREIRA;12;SOLIDARIEDADE;63;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;PROFESSOR DE ENSINO SUPERIOR;3675197.12;N;S;SIM;125000.0;NÃO ELEITO;205.0;0;0.9832868483713367;0.01671315162866327
