Ano,Rodada,Data,Mandante,Visitante,Gol.Mandante,Gol.Visitante,Total Gols,GP_m_20,GP_v_20,GC_m_20,GC_v_20,ShotsP_m_20,ShotsP_v_20,Elo_Dif_Abs
2019,17,08/31/19 19:00,Chapecoense,Santos,0,1,1,19,34,30,24,NA,NA,4.381716864
2019,17,08/31/19 21:00,Internacional,Botafogo,3,2,5,22,18,18,18,NA,NA,0.631320672
2019,17,08/31/19 11:00,Sao Paulo,Gremio,0,0,0,21,23,14,23,NA,NA,1.601566768
2019,17,09/01/19 19:00,Corinthians,Atletico-MG,1,0,1,19,28,11,21,222,296,0.544181529
2019,17,09/01/19 19:00,Cruzeiro,Vasco,1,0,1,17,18,26,24,270,266,0.913602446
2019,17,09/01/19 16:00,Flamengo,Palmeiras,3,0,3,41,36,20,13,312,326,0.944929681
2019,17,09/01/19 16:00,Fortaleza,Goias,2,0,2,23,22,29,32,NA,NA,0.184070956
2019,17,09/02/19 20:00,Fluminense,Avai,0,1,1,20,14,32,26,NA,NA,0.949982898
2019,18,09/07/19 17:00,Avai,Flamengo,0,3,3,13,43,24,20,NA,NA,8.441814402
2019,18,09/07/19 11:00,Corinthians,Ceara,2,2,4,19,22,11,20,NA,NA,3.079266396
2019,18,09/07/19 17:00,Fortaleza,Fluminense,0,1,1,25,20,26,30,NA,NA,2.675557098
2019,18,09/07/19 21:00,Goias,Palmeiras,1,2,3,21,33,31,16,NA,NA,7.240490278
2019,18,09/07/19 19:00,Internacional,Sao Paulo,1,0,1,25,20,19,14,NA,NA,1.358470505
2019,18,09/07/19 11:00,Vasco,Bahia,0,2,2,18,21,24,16,NA,NA,1.892700358
2019,18,09/08/19 16:00,Botafogo,Atletico-MG,2,1,3,19,27,21,22,211,295,0.768721819
2019,18,09/08/19 11:00,Cruzeiro,Gremio,1,4,5,18,21,25,23,274,269,2.330581041
2019,18,09/08/19 19:00,CSA,Chapecoense,2,0,2,NA,NA,NA,NA,NA,NA,1.393622111
2019,18,09/08/19 16:00,Santos,Athletico-PR,1,1,2,NA,NA,NA,NA,316,303,3.925569836
2019,16,09/10/19 21:00,Palmeiras,Fluminense,3,0,3,34,21,16,30,NA,NA,8.50469259
2019,19,09/14/19 21:00,Ceara,Botafogo,0,0,0,23,20,22,21,NA,NA,1.225326764
2019,19,09/14/19 19:00,Chapecoense,Vasco,1,2,3,17,16,30,26,NA,NA,1.478431971
2019,19,09/14/19 17:00,Flamengo,Santos,1,0,1,44,34,20,22,NA,NA,2.6672608
2019,19,09/14/19 19:00,Palmeiras,Cruzeiro,1,0,1,33,16,16,29,NA,NA,6.855111395
2019,19,09/15/19 11:00,Athletico-PR,Avai,0,1,1,NA,NA,NA,NA,301,256,3.000318018
2019,19,09/15/19 11:00,Atletico-MG,Internacional,1,3,4,26,25,23,17,301,269,1.248219642
2019,19,09/15/19 16:00,Bahia,Fortaleza,1,1,2,21,24,16,27,NA,NA,3.874680982
2019,19,09/15/19 16:00,Fluminense,Corinthians,1,0,1,21,21,31,12,323,227,4.863586362
2019,19,09/15/19 16:00,Gremio,Goias,3,0,3,25,20,22,31,265,252,4.520431071
2019,19,09/15/19 19:00,Sao Paulo,CSA,1,1,2,NA,NA,NA,NA,NA,NA,5.483970691
2019,20,09/21/19 11:00,Botafogo,Sao Paulo,1,2,3,18,21,20,14,NA,NA,1.336973079
2019,20,09/21/19 19:00,Corinthians,Bahia,2,1,3,21,22,13,16,NA,NA,0.461372142
2019,20,09/21/19 17:00,Cruzeiro,Flamengo,1,2,3,16,43,28,20,NA,NA,6.959850704
2019,20,09/21/19 21:00,Santos,Gremio,0,3,3,31,28,21,22,NA,NA,0.091608958
2019,20,09/22/19 16:00,CSA,Ceara,1,0,1,NA,NA,NA,NA,NA,NA,1.968493487
2019,20,09/22/19 16:00,Fortaleza,Palmeiras,0,1,1,23,33,26,16,NA,NA,7.239838892
2019,20,09/22/19 19:00,Goias,Fluminense,3,0,3,17,22,33,29,250,325,0.018569043
2019,20,09/22/19 11:00,Internacional,Chapecoense,1,0,1,26,18,18,32,262,267,5.690109368
2019,20,09/22/19 16:00,Vasco,Athletico-PR,1,1,2,NA,NA,NA,NA,281,300,0.785289
2019,20,09/23/19 20:00,Avai,Atletico-MG,1,0,1,11,25,26,23,NA,NA,2.658264956
2019,21,09/25/19 21:30,Bahia,Botafogo,2,0,2,23,19,18,21,257,199,1.241276255
2019,21,09/25/19 19:30,Ceara,Cruzeiro,0,0,0,21,17,21,30,250,255,0.432418227
2019,21,09/25/19 21:30,Flamengo,Internacional,3,1,4,44,26,19,17,302,268,3.286846687
2019,21,09/25/19 21:30,Sao Paulo,Goias,0,1,1,23,20,14,32,269,255,4.655833106
2019,21,09/26/19 21:30,Athletico-PR,Fortaleza,4,1,5,26,22,20,27,NA,NA,0.693008712
2019,21,09/26/19 20:00,Fluminense,Santos,1,1,2,21,30,32,22,NA,NA,4.589745507
2019,21,09/26/19 20:00,Gremio,Avai,6,1,7,30,11,22,25,NA,NA,5.416704065
2019,21,09/26/19 19:15,Palmeiras,CSA,6,2,8,31,9,14,25,NA,NA,8.257064933
2019,22,09/28/19 19:00,Flamengo,Sao Paulo,3,1,4,44,21,19,15,NA,NA,4.364372869
2019,22,09/29/19 19:00,Athletico-PR,Chapecoense,1,1,2,26,17,20,33,299,267,2.520024378
2019,22,09/29/19 19:00,Atletico-MG,Ceara,2,1,3,24,17,24,21,314,253,0.835210143
2019,22,09/29/19 11:00,Corinthians,Vasco,1,0,1,23,19,13,27,242,295,2.31744437
2019,22,09/29/19 16:00,Fluminense,Gremio,2,1,3,22,35,32,21,320,255,6.021875106
2019,22,09/29/19 16:00,Internacional,Palmeiras,1,1,2,27,33,18,16,251,292,3.642542985
2019,22,09/29/19 16:00,Santos,CSA,2,0,2,29,11,22,27,320,213,4.055046993
2019,22,09/30/19 20:00,Avai,Bahia,0,2,2,11,22,29,16,NA,NA,4.004105565
2019,22,09/30/19 20:00,Fortaleza,Botafogo,1,0,1,23,19,27,21,NA,NA,1.918276424
2019,22,09/30/19 20:00,Goias,Cruzeiro,1,0,1,20,16,32,27,NA,NA,0.241540799
2019,21,10/02/19 19:15,Atletico-MG,Vasco,1,2,3,24,18,24,24,NA,NA,0.715603888
2019,21,10/02/19 19:15,Chapecoense,Corinthians,0,1,1,16,22,34,10,NA,NA,4.829552559
2019,23,10/05/19 19:00,Bahia,Athletico-PR,1,2,3,22,26,13,19,NA,NA,3.177423444
2019,23,10/05/19 21:00,Cruzeiro,Internacional,1,1,2,15,26,28,18,NA,NA,4.207486576
2019,23,10/05/19 19:00,Gremio,Corinthians,0,0,0,35,22,22,10,NA,NA,0.445387357
2019,23,10/05/19 17:00,Sao Paulo,Fortaleza,2,1,3,20,22,17,26,NA,NA,3.283190017
2019,23,10/05/19 17:00,Vasco,Santos,0,1,1,19,29,23,21,NA,NA,2.146811004
2019,23,10/06/19 16:00,Botafogo,Fluminense,0,1,1,16,23,20,31,188,322,1.383934338
2019,23,10/06/19 16:00,Ceara,Goias,0,1,1,18,20,22,30,247,245,0.799078547
2019,23,10/06/19 11:00,Chapecoense,Flamengo,0,1,1,16,46,34,18,264,312,9.710388803
2019,23,10/06/19 19:00,CSA,Avai,3,1,4,10,10,28,30,216,257,0.331077302
2019,23,10/06/19 16:00,Palmeiras,Atletico-MG,1,1,2,33,23,16,25,291,325,6.97195466
2019,24,10/09/19 21:00,Bahia,Sao Paulo,0,0,0,22,21,15,17,242,266,0.46935202
2019,24,10/09/19 19:15,Botafogo,Goias,3,1,4,15,20,21,28,190,241,1.141406231
2019,24,10/09/19 21:30,Cruzeiro,Fluminense,0,0,0,14,19,28,27,263,317,0.380223754
2019,24,10/09/19 19:15,CSA,Internacional,1,0,1,13,27,29,18,221,254,4.567821247
2019,24,10/09/19 20:30,Fortaleza,Chapecoense,2,0,2,23,15,27,34,229,259,1.707058302
2019,24,10/09/19 21:00,Gremio,Ceara,2,1,3,31,17,17,21,271,261,4.753563126
2019,24,10/09/19 21:30,Santos,Palmeiras,2,0,2,30,33,21,17,301,297,3.179775661
2019,24,10/10/19 19:15,Avai,Vasco,0,0,0,11,18,32,23,NA,NA,2.401288379
